EmployeeID,Department,Age,EducationLevel,JobRole,YearsAtCompany,MonthlyHoursWorked,Overtime,Salary,JobSatisfaction,PerformanceScore,Absenteeism,PromotionsLast5Years,LastEvaluationScore
345,Sales,39,Bachelor's,Manager,6,174,Yes,High,4,10,10,0,0.6
346,Sales,48,Master's,Sales Associate,7,174,No,Low,4,2,11,0,0.87
347,Sales,28,Bachelor's,Developer,16,145,No,Low,1,5,0,1,0.58
348,HR,56,Master's,Team Lead,13,229,No,Medium,3,1,10,2,0.97
349,Sales,43,Master's,Analyst,10,254,No,High,1,4,11,2,0.83
350,Marketing,42,Bachelor's,Manager,4,191,No,High,4,10,1,1,0.71
351,HR,39,Bachelor's,Sales Associate,10,213,No,High,3,7,9,1,0.98
352,Product,59,PhD,Manager,3,158,No,High,3,6,8,2,0.76
353,HR,47,PhD,Developer,2,127,No,Low,5,6,9,2,0.69
354,Engineering,43,Master's,Analyst,7,234,No,Low,1,5,8,0,0.58
355,Product,58,Master's,Sales Associate,15,149,Yes,Medium,4,8,14,0,0.86
356,Sales,26,Master's,Developer,17,171,No,Medium,2,6,1,1,0.8
357,Sales,56,Bachelor's,Analyst,19,163,Yes,High,5,2,12,2,0.61
358,Engineering,33,Bachelor's,Team Lead,14,168,Yes,Medium,2,3,7,2,0.62
359,Sales,56,PhD,Manager,15,226,No,High,3,3,4,0,0.61
360,Product,55,Bachelor's,Developer,4,249,Yes,Low,4,2,1,0,0.75
361,Product,41,Master's,Manager,6,226,Yes,Low,4,2,8,2,0.52
362,Product,33,PhD,Manager,14,173,No,Low,1,2,0,1,0.64
363,HR,55,Bachelor's,Developer,11,247,No,Medium,4,10,2,0,0.87
364,HR,47,Master's,Developer,19,176,Yes,High,4,5,14,2,0.81
365,Product,55,Bachelor's,Sales Associate,7,200,No,Medium,1,9,6,1,0.91
366,HR,53,Bachelor's,Analyst,11,225,No,High,1,10,4,2,0.87
367,HR,28,Bachelor's,Team Lead,12,174,Yes,Medium,4,3,5,2,0.51
368,Marketing,47,Master's,Analyst,2,248,No,Low,4,6,6,2,0.78
369,HR,46,Master's,Team Lead,10,243,Yes,Medium,5,8,13,1,0.72
370,Marketing,38,Bachelor's,Team Lead,17,169,No,Low,2,2,10,1,0.68
371,Marketing,45,Master's,Sales Associate,16,250,No,High,5,2,0,2,1.0
372,HR,48,Bachelor's,Analyst,18,251,No,Low,5,8,6,2,0.83
373,HR,25,PhD,Developer,2,150,Yes,Medium,3,1,9,1,0.63
374,HR,48,Master's,Manager,5,133,No,High,4,2,4,2,0.77
375,Sales,51,Bachelor's,Sales Associate,4,140,Yes,Medium,5,7,11,2,0.55
376,Marketing,24,Bachelor's,Sales Associate,10,236,No,Medium,4,9,7,1,0.87
377,Sales,27,Bachelor's,Sales Associate,10,195,Yes,Medium,5,7,1,0,0.67
378,Product,29,PhD,Developer,14,131,Yes,Low,3,8,8,1,0.58
379,HR,37,Master's,Manager,7,253,No,High,4,8,13,0,0.58
380,Product,36,Bachelor's,Team Lead,11,232,No,Medium,2,3,14,0,0.51
381,Sales,57,Bachelor's,Developer,12,256,No,Low,3,6,12,1,0.89
382,Marketing,29,Bachelor's,Analyst,6,147,No,Medium,1,5,5,0,0.86
383,Engineering,51,Master's,Analyst,6,254,No,High,2,3,8,2,0.74
384,HR,33,PhD,Developer,9,228,No,Low,5,2,5,1,0.65
385,Product,25,PhD,Sales Associate,16,162,No,Medium,4,10,5,0,0.7
386,Product,35,Bachelor's,Developer,15,252,No,Medium,4,7,0,0,0.94
387,Product,46,Bachelor's,Manager,1,248,Yes,Low,2,4,11,1,0.56
388,Sales,26,Master's,Team Lead,4,157,No,High,1,5,14,1,0.51
389,Sales,44,Bachelor's,Team Lead,2,126,No,High,4,6,7,2,0.61
390,Engineering,51,PhD,Team Lead,15,213,Yes,High,1,7,8,0,0.76
391,Sales,33,Master's,Team Lead,7,178,Yes,Low,1,4,14,1,0.5
392,Marketing,36,Master's,Sales Associate,4,231,Yes,Low,3,8,5,0,0.55
393,Marketing,40,Bachelor's,Analyst,5,196,No,Medium,2,9,0,0,0.85
394,Product,47,PhD,Analyst,6,184,No,Low,2,5,7,0,0.72
395,HR,25,Master's,Developer,9,170,No,Medium,2,2,8,1,0.97
396,Product,59,Master's,Team Lead,19,228,No,Low,5,10,6,2,0.96
397,Marketing,29,Bachelor's,Analyst,10,170,Yes,High,2,5,11,0,0.64
398,Marketing,51,PhD,Manager,4,255,No,High,4,8,10,1,0.69
399,Marketing,36,PhD,Developer,3,146,No,Low,4,4,0,0,0.96
400,Product,33,Master's,Sales Associate,10,181,Yes,Low,2,3,0,2,0.79
401,Engineering,31,PhD,Analyst,14,134,No,High,4,8,9,0,0.68
402,HR,33,Bachelor's,Team Lead,18,183,No,High,3,5,12,2,0.9
403,Engineering,38,Bachelor's,Sales Associate,18,205,Yes,Low,5,5,4,1,0.96
404,Engineering,23,Master's,Manager,11,172,Yes,High,5,9,12,1,0.84
405,HR,40,Master's,Manager,9,255,Yes,Low,1,1,5,1,0.62
406,Marketing,50,PhD,Manager,14,156,No,Low,1,8,14,0,0.91
407,Marketing,22,Bachelor's,Sales Associate,11,158,No,Low,5,8,4,2,0.71
408,Product,43,PhD,Analyst,7,252,Yes,Low,2,9,12,0,0.85
409,Product,46,PhD,Analyst,11,231,Yes,Low,2,6,1,2,0.74
410,Engineering,31,Master's,Team Lead,4,231,No,Low,3,1,3,1,0.97
411,HR,30,Bachelor's,Sales Associate,16,134,No,Medium,5,1,4,0,0.53
412,HR,40,Bachelor's,Analyst,19,247,No,Low,4,10,6,1,0.58
413,Sales,33,PhD,Developer,3,135,No,Low,4,9,9,1,0.6
414,Sales,50,Bachelor's,Team Lead,5,258,No,Medium,1,8,9,2,0.61
415,Engineering,39,Bachelor's,Analyst,11,124,No,High,5,9,0,2,0.62
416,Product,37,PhD,Developer,8,204,No,Low,1,3,4,2,0.58
417,Marketing,25,Master's,Team Lead,19,225,Yes,Low,3,5,14,0,0.85
418,Marketing,46,Master's,Manager,13,172,No,Medium,1,7,13,1,0.61
419,Engineering,43,Master's,Manager,12,173,No,High,3,1,1,0,0.62
420,HR,50,PhD,Developer,13,187,No,Low,5,8,1,2,0.6
421,Sales,43,Bachelor's,Manager,18,164,No,Low,3,9,1,2,0.7
422,Product,36,PhD,Developer,6,244,Yes,Medium,1,6,9,2,0.98
423,HR,23,PhD,Team Lead,8,122,Yes,High,5,5,6,1,0.68
424,Product,34,Master's,Analyst,5,186,No,High,1,4,10,1,0.65
425,Product,33,Bachelor's,Team Lead,11,143,No,High,4,10,6,2,0.53
426,Engineering,47,Master's,Developer,19,148,Yes,High,2,6,1,1,0.68
427,Sales,33,Bachelor's,Sales Associate,1,173,No,Medium,3,9,3,1,0.62
428,Sales,48,Bachelor's,Sales Associate,12,231,Yes,Medium,3,4,3,0,0.88
429,Marketing,56,Master's,Developer,10,185,No,Low,2,8,14,0,0.56
430,HR,23,Master's,Manager,19,188,No,Low,3,7,13,2,0.57
431,HR,38,PhD,Developer,14,156,Yes,Medium,3,4,6,2,0.64
432,Sales,23,Bachelor's,Analyst,19,201,No,High,4,10,4,1,0.64
433,Product,38,Bachelor's,Team Lead,13,144,No,Low,5,2,4,0,0.92
434,Marketing,55,Bachelor's,Developer,10,227,No,Low,3,6,13,0,0.9
435,Marketing,55,Bachelor's,Analyst,9,196,No,High,4,3,14,2,0.79
436,Product,30,Bachelor's,Sales Associate,2,154,No,Low,3,7,12,0,0.64
437,Marketing,35,PhD,Developer,18,205,No,Medium,5,9,1,1,0.66
438,Product,41,Bachelor's,Manager,18,176,Yes,Medium,4,2,12,0,0.8
439,Marketing,54,PhD,Developer,16,183,No,Low,3,10,4,0,0.87
440,Sales,45,Master's,Sales Associate,17,156,No,Medium,4,10,3,2,0.69
441,Marketing,26,PhD,Analyst,18,227,No,Low,2,10,5,0,0.75
442,Marketing,53,PhD,Developer,8,126,No,Low,3,6,4,2,0.94
443,HR,44,PhD,Developer,17,151,Yes,Medium,1,8,0,2,0.82
444,Marketing,22,Master's,Manager,6,234,No,Medium,5,7,1,0,0.77
445,Product,59,Bachelor's,Developer,10,126,No,Medium,3,5,1,2,0.54
446,Sales,53,PhD,Team Lead,15,136,Yes,Low,3,4,1,1,0.59
447,Marketing,37,Master's,Developer,13,150,No,Medium,1,9,7,2,0.6
448,Sales,41,PhD,Analyst,15,148,No,High,4,8,8,2,0.81
449,Sales,37,PhD,Team Lead,14,247,Yes,Low,5,10,2,0,0.55
450,Marketing,34,Master's,Manager,2,222,No,Low,1,10,5,0,0.51
451,HR,32,PhD,Analyst,5,158,No,High,5,5,2,2,0.68
452,Engineering,38,PhD,Manager,6,149,No,High,3,8,3,2,0.86
453,Marketing,28,Bachelor's,Developer,13,122,No,Low,5,8,10,2,0.85
454,Engineering,43,Master's,Developer,10,203,No,High,4,5,0,1,0.9
455,Marketing,52,PhD,Developer,13,196,No,Medium,2,7,7,0,0.85
456,Sales,25,Master's,Sales Associate,1,184,No,Medium,5,3,3,1,0.81
457,Marketing,38,Master's,Sales Associate,6,137,No,Low,2,8,9,0,0.74
458,Engineering,22,Bachelor's,Sales Associate,10,124,No,Low,4,10,4,0,0.6
459,Sales,23,Bachelor's,Team Lead,2,252,Yes,Medium,1,4,13,1,0.78
460,Marketing,54,Bachelor's,Sales Associate,18,134,No,Low,5,1,1,1,0.82
461,HR,40,PhD,Developer,2,130,No,Medium,5,8,14,0,0.56
462,Product,40,PhD,Developer,11,170,No,High,5,6,12,0,0.78
463,Marketing,44,PhD,Manager,7,154,No,High,5,8,6,1,0.55
464,HR,37,PhD,Analyst,17,123,No,High,2,1,4,1,0.77
465,Engineering,37,PhD,Analyst,8,128,No,Low,4,4,6,0,0.58
466,HR,50,PhD,Team Lead,7,202,Yes,High,2,2,1,1,0.56
467,Product,29,Master's,Analyst,12,188,No,Medium,3,1,13,2,0.56
468,HR,49,Master's,Team Lead,10,255,No,Medium,3,9,13,0,0.96
469,Marketing,46,Bachelor's,Manager,19,226,No,Medium,1,3,8,1,0.8
470,HR,46,PhD,Developer,11,213,No,Medium,1,5,1,2,0.63
471,Marketing,34,Master's,Developer,7,155,No,Medium,5,4,0,0,0.54
472,Engineering,35,Bachelor's,Team Lead,7,166,No,High,3,6,2,0,0.77
473,Product,40,Bachelor's,Sales Associate,3,178,Yes,Medium,2,10,14,1,0.57
474,HR,36,Bachelor's,Manager,18,251,Yes,High,4,4,10,2,0.89
475,Product,36,Bachelor's,Developer,11,186,No,Medium,3,5,1,1,0.75
476,HR,42,Master's,Developer,8,123,No,Low,3,4,8,1,0.86
477,Product,29,Master's,Manager,9,191,No,High,2,4,5,2,0.7
478,HR,49,Master's,Team Lead,9,186,Yes,Low,3,8,9,1,0.85
479,Engineering,37,Bachelor's,Sales Associate,5,232,No,High,2,7,5,0,0.84
480,Engineering,45,Bachelor's,Team Lead,3,191,No,High,2,5,8,2,0.78
481,Marketing,33,PhD,Manager,17,130,No,Low,2,9,8,1,0.92
482,HR,35,PhD,Analyst,12,229,No,Medium,2,9,1,1,0.79
483,Engineering,51,Bachelor's,Team Lead,4,243,No,Medium,3,2,5,1,0.79
484,Engineering,53,Master's,Analyst,1,232,Yes,Medium,3,2,0,0,0.65
485,Product,40,Bachelor's,Manager,6,241,Yes,Medium,4,6,5,0,0.97
486,Engineering,26,PhD,Analyst,8,125,No,High,1,1,0,2,0.76
487,Engineering,50,PhD,Developer,13,160,Yes,Medium,4,10,11,2,0.7
488,Marketing,23,Master's,Analyst,12,254,No,High,2,5,3,0,0.77
489,Sales,45,Bachelor's,Sales Associate,13,148,No,High,5,7,6,2,0.57
490,Product,38,PhD,Sales Associate,19,253,Yes,High,4,4,14,0,0.63
491,Engineering,48,Master's,Manager,16,194,No,Low,5,3,5,0,0.65
492,Sales,24,PhD,Sales Associate,13,255,No,Low,5,4,12,1,0.76
493,Sales,39,Master's,Analyst,13,149,No,Medium,3,1,0,2,0.85
494,Engineering,42,PhD,Developer,16,220,Yes,High,2,6,5,1,0.64
495,Marketing,22,PhD,Manager,18,202,No,Medium,1,1,13,0,0.57
496,HR,28,Bachelor's,Team Lead,8,167,Yes,Low,1,3,4,2,0.78
497,Marketing,44,Master's,Developer,16,183,Yes,Low,1,3,2,1,0.93
498,Engineering,37,Master's,Team Lead,2,243,No,Low,1,9,13,0,0.71
499,Product,32,PhD,Manager,6,161,Yes,High,1,9,8,0,0.74
500,HR,56,Bachelor's,Team Lead,1,149,Yes,Low,5,1,10,1,0.64
